PMID	Title	Date	Journal	Species	Disease	Tissue_type	Evidence	Weight	Gene_name	Cell_name	context_background	Evidence_clean	Predict_prob
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	GUDMAP therefore further verifies that Gdnf is expressed in both cap mesenchyme and stromal cells.	2	Gdnf	stromal cell	This result was further confirmed using the GUDMAP gene expression resource ( GUDMAP.org ) ( Brunskill et al., 2008 ) .. Of interest, the GUDMAP dataset showed the strongest Gdnf expression in the Meis1-GFP FACS purified stromal cell population, with cap mesenchyme cells showing the second highest expression.	genito urinary development molecular anatomy project far verify express in cap mesenchyme stromal cell	0.004427000880241394
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Surprisingly, from the cell-interaction analyses, Gdnf is predicted to have the most consistent and specific expression in nephrogenic zone stromal cells.	2	Gdnf	nephrogenic zone stromal cell	In Slit2 null mice multiple ureteric budding events occur as opposed to a normal single budding event.. It has also been shown that Robo2 is expressed within the CM and Slit2 is expressed within the collecting ducts ( Grieshammer et al., 2004 ) .	surprisingly cell-interaction analysis predict have consistent specific expression in nephrogenic zone stromal cell	0.0033769106958061457
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Further, the expression domain of Gdnf appeared to extend deeper than that of Six2, in some cases likely including stromal cells, based on position (Fig. 8).	2	Gdnf & Six2	stromal cell	Using the Allen Brain Atlas public resource ( http: or or www.brain-map.org ) in situ hybridization dataset we observed, as expected, Six2 expression primarily in the cap mesenchyme cell population located overlying and immediately flanking the branching ureteric tips at E13.5 ( Fig. 8 ) .. Gdnf showed an overlapping gene expression pattern, but with weaker expression in the cells overlying the ureteric bud and stronger expression in the cells flanking the ureteric bud.	far expression domain of appear deeply of in case likely include stromal cell base on position 	0.002906718524172902
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Black double arrowheads point to Gdnf negative, MEIS1 positive cells below the nephrogenic zone.	2	Gdnf & MEIS1	MEIS1 positive cell	Arrowheads point to cells positive for Gdnf and negative for SIX2.. Dashed lines outline the SIX2 positive CM.	black double arrowhead point negative positive cell nephrogenic zone	0.002398864831775427
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Highlights Single cell RNA-seq of over 8,000 E14.5 developing kidney cells  Stromal cells, as well as cap mesenchyme, express GDNF  Comparison of 10X Genomics, Drop-Seq and Fluidigm 800 cell IFC single cell RNA-Seq  Multilineage priming at many stages of nephrogenesis	2	GDNF	Stromal cell & kidney cell	The early progenitor CM cells show stochastic expression of markers of multiple lineages.. The MSSB cells are more committed and show elevated expression of proximal tubule associated genes and reduced expression of podocyte marker genes.	highlights single cell rna-seq of 8,000 e14.5 develop kidney cell  stromal cell as as cap mesenchyme express  comparison of genomics drop-seq fluidigm cell ifc single cell rna-seq  multilineage priming stage of nephrogenesis	0.002282429486513138
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Of interest, the GUDMAP dataset showed the strongest Gdnf expression in the Meis1-GFP FACS purified stromal cell population, with cap mesenchyme cells showing the second highest expression.	2	Gdnf	stromal cell & cap mesenchyme cell	Further, the expression domain of Gdnf appeared to extend deeper than that of Six2, in some cases likely including stromal cells, based on position ( Fig. 8 ) .. This result was further confirmed using the GUDMAP gene expression resource ( GUDMAP.org ) ( Brunskill et al., 2008 ) .	of interest genito urinary development molecular anatomy project dataset strong expression in meis1-gfp facs purified stromal cell population cap mesenchyme cell second high expression	0.0021453038789331913
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf	2	Gdnf	stromal cell		cross-platform single cell analysis of kidney development stromal cell express	0.0018260125070810318
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	While several transcriptionally distinct cell populations were evident from these unsupervised analyses, such as Endothelial (Icam2 positive), Cap mesenchyme (Crym positive) and Uteric tip (Ret positive), a precise 1-to-1 mapping of distinct cell type predictions was not obtained.	2	Icam2 & Ret & Crym	Endothelial	Generally similar states were captured by the Fluidigm and Chromium platforms as determined by t-SNE visualization, gene set enrichment analysis against the 16 Drop-Seq identified population markers and expression of previously defined embryonic kidney cell-type or compartmental specific marker genes ( Fig. 2B-C ) .. Importantly, no new additional populations could be identified using the software Seurat ( Macosko et al. 2015 ) applied to the Drop-Seq, Chromium or Fluidigm data ( data not shown ) .	transcriptionally distinct cell population evident unsupervised analysis such as endothelial cap mesenchyme uteric tip precise 1-to-1 mapping of distinct cell type prediction obtain	0.0018124905182048678
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	While several transcriptionally distinct cell populations were evident from these unsupervised analyses, such as Endothelial (Icam2 positive), Cap mesenchyme (Crym positive) and Uteric tip (Ret positive), a precise 1-to-1 mapping of distinct cell type predictions was not obtained.	2	Icam2 & Ret & Crym	Endothelial	Generally similar states were captured by the Fluidigm and Chromium platforms as determined by t-SNE visualization, gene set enrichment analysis against the 16 Drop-Seq identified population markers and expression of previously defined embryonic kidney cell-type or compartmental specific marker genes ( Fig. 2B-C ) .. Importantly, no new additional populations could be identified using the software Seurat ( Macosko et al., 2015 ) applied to the Drop-Seq, Chromium or Fluidigm data ( data not shown ) .	transcriptionally distinct cell population evident unsupervised analysis such as endothelial cap mesenchyme uteric tip precise 1-to-1 mapping of distinct cell type prediction obtain	0.0018124905182048678
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf, Developmental Biology,	2	Gdnf	stromal cell	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf	cross-platform single cell analysis of kidney development stromal cell express developmental biology	0.0017285831272602081
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Consistent with the Drop-Seq, Fluidigm and Chromium scRNA-Seq data, the Allen Brain Atlas in situ hybridization data, and the GUDMAP FACS/RNA-Seq data, we observed stromal cell expression of Gdnf in cells that were not SIX2 positive, and were therefore likely stromal cells (Fig. 9D,E,E').	2	Gdnf & SIX2	Fig. 9D & stromal cell	GUDMAP therefore further verifies that Gdnf is expressed in both cap mesenchyme and stromal cells.. To still further validate the expression of Gdnf by stromal cells we carried out double Gdnf in situ hybridization coupled with SIX2 or MEIS1 IHC.	consistent drop-seq fluidigm chromium scrna-seq datum allen brain atlas in situ hybridization datum genito urinary development molecular anatomy project facs/rna-seq datum observe stromal cell expression of in cell positive likely stromal cell 	0.0017098546959459782
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	These analyses validate the specificity of Rprm expression in the ureteric tip, Pcp4 in podocytes, and Spock2 in the cap mesenchyme (Fig. 5 A-C).	2	Pcp4 & Rprm & Spock2	podocyte	Although we were unable to identify marker genes obtained by a single-platform that have well-documented cell specificity in the literature, many of the population specific genes identified were predicted to correspond to assigned population labels by ToppGene analysis ( Table S3 ) .. To evaluate the specificity of the scRNA-Seq predictions, we validated the expression patterns of multiple predicted markers by using immunofluorescence, the Allen Brain Atlas and GUDMAP public resources.	analysis validate specificity of expression in ureteric tip in podocyte in cap mesenchyme 	0.0013172683538869023
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	An expanded view heatmap focusing on selected stromal and cap mesenchyme genes further illustrates the robust Gdnf expression in some stromal cells, often exceeding levels seen in cap mesenchyme cells (Fig. 7).	2	Gdnf	stromal & stromal cell & cap mesenchyme cell	We confirmed this unexpected finding in several ways.. First, the three scRNA-Seq technologies, Drop-Seq, Fluidigm and Chromium, all showed expression of Gdnf in stromal cells, as well as cap mesenchyme, providing cross platform validation ( Fig. 4C ) .	expand view heatmap focus on select stromal cap mesenchyme gene far illustrate robust expression in stromal cell exceed level in cap mesenchyme cell 	0.0012550677638500929
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	First, the three scRNA-Seq technologies, Drop-Seq, Fluidigm and Chromium, all showed expression of Gdnf in stromal cells, as well as cap mesenchyme, providing cross platform validation (Fig. 4C).	2	Gdnf	stromal cell	This was surprising because the Cap Mesenchyme has historically been considered the sole source of GDNF ( Dressler, 2009;McMahon, 2016 ) .. We confirmed this unexpected finding in several ways.	scrna-seq technology drop-seq fluidigm chromium expression of in stromal cell as as cap mesenchyme provide cross platform validation 	0.001166598405689001
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	It would be interesting, in the future, to determine the effects of stromal lineage specific deletion of Gdnf expression.	2	Gdnf	stromal lineage	"It was hypothesized that the cause could be an ""as yet unidentified ligand for the Ret receptor…"" produced by the stroma.. Our results, however, suggest that the Foxd1 mutation could result in reduced GDNF expression by the stroma."	interesting in future determine effect of stromal lineage specific deletion of expression	0.0010725253960117698
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Heatmaps using data from all three scRNA-seq platforms show Gdnf expression by stromal cells.	2	Gdnf	stromal cell	Figure 7.. Gdnf expression in the nephrogenic zone stroma.	heatmap use datum scrna-seq platform expression by stromal cell	0.0010528863640502095
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	As predicted by the Allen Brain Atlas, these Gdnf expressing stromal cells were often located near the cap mesenchyme, but extending deeper into the kidney.	2	Gdnf	stromal cell	We further confirmed this by Gdnf in situ hybridization coupled with IHC for MEIS1, a specific marker of the stromal lineage.. We observed that some of the MEIS1 positive cells indeed showed robust expression of Gdnf ( Fig. 9F,G,G' ) .	as predict by allen brain atlas expressing stromal cell located near cap mesenchyme deeply kidney	0.0008137720869854093
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Surprisingly, we find that stromal cells, as well as cap mesenchyme nephron progenitors, express Gdnf, a key driver of branching morphogenesis of the collecting duct system.	2	Gdnf	mesenchyme nephron progenitor & stromal cell	As such, we believe the presented bioinformatics workflow has the strong potential to be applied in numerous ongoing large-scale efforts to map and compare sample heterogeneity across diverse samples, laboratories and analytical technologies.. The results provide a global definition of the gene expression patterns of the progenitor and multiple differentiating cell types present.	surprisingly find stromal cell as as cap mesenchyme nephron progenitor express key driver of branching morphogenesis of collecting duct system	0.0007183452835306525
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Arrows point to regions of Gdnf expression that are deeper in the kidney than normally seen for Six2, suggesting that they are not cap mesenchyme cells.	2	Gdnf & Six2	mesenchyme cell	Figure 8 .8Figure 8. Gdnf and Six2 in situ hybridization.. A,B: Gdnf and C,D: Six2 in situ hybridization images of E13.5 embryonic kidneys from the Allen Brain atlas.	arrow point region of expression deep in kidney normally for suggest cap mesenchyme cell	0.0007081314688548446
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	To further confirm the expression of Gdnf in stromal cells we next examined public gene expression resources.	2	Gdnf	stromal cell	First, the three scRNA-Seq technologies, Drop-Seq, Fluidigm and Chromium, all showed expression of Gdnf in stromal cells, as well as cap mesenchyme, providing cross platform validation ( Fig. 4C ) .. An expanded view heatmap focusing on selected stromal and cap mesenchyme genes further illustrates the robust Gdnf expression in some stromal cells, often exceeding levels seen in cap mesenchyme cells ( Fig. 7 ) .	far confirm expression of in stromal cell examine public gene expression resource	0.0005917523521929979
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Dashed lines outline the SIX2 positive CM.	2	SIX2	Dashed line	G': 40x view of Gdnf positive, MEIS1 positive cells.. Arrowheads point to cells positive for Gdnf and negative for SIX2.	dashed line outline positive cap mesenchyme	0.0005279016331769526
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	The stromal cells flanking and immediately beneath the branching UB tips showed the strongest Gdnf expression.	2	Gdnf	stromal cell	We observed that some of the MEIS1 positive cells indeed showed robust expression of Gdnf ( Fig. 9F,G,G' ) .. As predicted by the Allen Brain Atlas, these Gdnf expressing stromal cells were often located near the cap mesenchyme, but extending deeper into the kidney.	stromal cell flanking immediately beneath branch ub tip strong expression	0.00048616944695822895
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Of interest it was recently shown that mutation of the Pax2 gene in cap mesenchyme breaks this lineage boundary, causing the nephron progenitor cells to convert to the stromal lineage (Naiman et al., 2017).	2	Pax2	lineage & nephron progenitor cell & stromal lineage	The current dogma is that differentiating kidney cells make a similar binary decision early in development, choosing either the stromal or nephrogenic lineage.. This dogma is based largely on lineage tracing studies, which show that Six2-Cre labels the nephron lineage ( Kobayashi et al., 2008 ) while Foxd1-Cre labels the stromal lineage ( Kobayashi et al., 2014 ) .	of interest recently mutation of gene in cap mesenchyme break lineage boundary cause nephron progenitor cell convert stromal lineage 	0.0003721386892721057
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	GUDMAP also defined gene expression patterns of FACS purified specific cell types using transgenic mice with GFP reporter expression driven by Meis1 (stromal cells) (Brunskill and Potter, 2012a), Tie2 (endothelial cells) (Brunskill and Potter, 2010), Mafb (podocytes) (Brunskill et al. 2011), and Crym (cap mesenchyme) (Brunskill and Potter, 2012b).	2	Mafb & Meis1 & Crym	endothelial cell & stromal cell & FAC & podocyte	Many compartments, however, include multiple cell types, confounding interpretation of results.. It was not clear which cell type expressed which gene.	genito urinary development molecular anatomy project define gene expression pattern of facs purify specific cell type use transgenic mouse gfp reporter expression drive by tie2 	0.0003505459753796458
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	CD: Collecting duct, UT: Ureteric Tip, LOH: Loop of Henle, RV: Renal vesicle, DCSB: Distal comma shaped body, Pod: podocyte, PT: Proximal Tubule, PA: Pre-tubular aggregate, CM: Cap mesenchyme, Endo: Endothelium, NZS: Nephrogenic Stroma, CS: Cortical Stroma.	2	CS	Endothelium & Pre-tubular aggregate , & podocyte & Pod	Text to the left of each heatmap indicates the statistical enrichment of genes from the Drop-Seq ICGS analysis for the 16 identified populations ( MarkerFinder ) using the embedded gene-set enrichment analysis tool GO-Elite in AltAnalyze.. B-C ) t-SNE plot derived from the ICGS heatmaps in panel A, where each dot represents individual cells colored according to its B ) ICGS cluster annotation or C ) prior established population specific genes.	cd collect duct ut ureteric tip loh loop of henle renal vesicle renal vesicle dcsb distal comma shaped body pod podocyte pt proximal tubule pa pre-tubular aggregate cap mesenchyme cap mesenchyme endo endothelium nzs nephrogenic stroma cortical stroma	0.0002610981755424291
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	These combined results suggest that stromal cells might contribute to GDNF signaling.	2	GDNF	stromal cell	As predicted by the Allen Brain Atlas, these Gdnf expressing stromal cells were often located near the cap mesenchyme, but extending deeper into the kidney.. The stromal cells flanking and immediately beneath the branching UB tips showed the strongest Gdnf expression.	combined result suggest stromal cell contribute signaling	0.0002230723766842857
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	A: Rprm, UT: ureteric tip B: Pcp4, Pod: Podocytes, C: Spock2, CM: cap mesenchyme, D: Gpc3, NZS: Nephrogenic zone stroma, E: CRABP1, NZS, F: Penk, CS: Cortical Stroma, G: Alx1, CS, H: Col6a1, MS: Medullary stroma.	2	CRABP1 & Rprm & MS & Pcp4 & Col6a1 & CS & Spock2 & Penk & Alx1 & Gpc3	Pod & Nephrogenic zone stroma & ureteric tip B: & ureteric tip B : & Podocyte	Figure 5 .5Figure 5.. Cell type specific gene expression validations.	ut ureteric tip b pod podocyte c cap mesenchyme cap mesenchyme d nzs nephrogenic zone stroma e nzs f cortical stroma g h medullary stroma	0.00021152402041479945
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Using the Allen Brain Atlas public resource (http://www.brain-map.org) in situ hybridization dataset we observed, as expected, Six2 expression primarily in the cap mesenchyme cell population located overlying and immediately flanking the branching ureteric tips at E13.5 (Fig. 8).	2	Six2	cap mesenchyme cell population	An expanded view heatmap focusing on selected stromal and cap mesenchyme genes further illustrates the robust Gdnf expression in some stromal cells, often exceeding levels seen in cap mesenchyme cells ( Fig. 7 ) .. To further confirm the expression of Gdnf in stromal cells we next examined public gene expression resources.	use allen brain atlas public resource in situ hybridization dataset observe as expect expression primarily in cap mesenchyme cell population located overlying immediately flank branch ureteric tip e13.5 	0.00020982744172215462
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	MCD: medullary collecting duct, CD: collecting duct, UT: ureteric tip, LOH: loop of Henle, DCSB, distal comma shaped body, Pod: podocyte, MSSB: mid S-shaped body, PT: proximal tubule, CM: cap mesenchyme, Endo: Endothelium, NZS: nephrogenic zone stroma, CS: cortical stroma, MS: medullary stroma.	2	MS & CS	Endothelium & podocyte & Pod	Receptors are labeled in red and ligands are labeled in blue.. Interconnecting lines are color coded to match the heat map cell clusters.	mcd medullary collecting duct cd collecting duct ut ureteric tip loh loop of henle dcsb distal comma shaped body pod podocyte mssb mid s-shaped body pt proximal tubule cap mesenchyme cap mesenchyme endo endothelium nzs nephrogenic zone stroma cortical stroma medullary stroma	0.00014915231440681964
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	It is interesting to note that mutation of the transcription factor Foxd1, expressed in the stromal lineage, results in severely reduced ureteric bud branching (Hatini et al., 1996).	2	Foxd1	stromal lineage	GDNF interacts with the Ret or Gfra1 receptors on the ureteric tips to help drive its branching morphogenesis.. Germline mutation of Gdnf, Ret, or Gfra1 results in renal agenesis, with failure of ureteric bud ( Olsson et al. ) formation ( Costantini and Shakya, 2006;Skinner et al., 2008 ) .	interesting note mutation of transcription factor express in stromal lineage result in severely reduce ureteric bud branching 	0.0001315395493293181
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Penk and Alx1 showed strongest expression in the stromal cells flanking the collecting ducts, while Col6a1 showed a somewhat complementary expression pattern in the medullary stroma more distant from the collecting ducts (Fig. 5 F-H).	2	Col6a1 & Penk & Alx1	stromal cell	The c14 compartment contains the nephrogenic zone stroma cells, although genes associated with these cells show some variation in expression domains.. While CRABP1 is restricted to the nephrogenic zone stroma, Gpc3 was expressed at the highest level within the nephrogenic zone stroma but also at a lower level in the underlying cortical stroma region ( Fig. 5 D,E ) .	strong expression in stromal cell flank collecting duct somewhat complementary expression pattern in medullary stroma distant collecting duct 	4.5998247514944524e-05
