UBERON:0000000	processual entity
UBERON:0001142	left renal vein
UBERON:0001143	hepatic vein
UBERON:0001144	testicular vein
UBERON:0001145	ovarian vein
UBERON:0001146	suprarenal vein
UBERON:0001152	cystic duct
UBERON:0001153	caecum
UBERON:0001154	vermiform appendix
UBERON:0001155	colon
UBERON:0001156	ascending colon
UBERON:0001157	transverse colon
UBERON:0001158	descending colon
UBERON:0001159	sigmoid colon
UBERON:0001160	fundus of stomach
UBERON:0001161	body of stomach
UBERON:0001162	cardia of stomach
UBERON:0001165	pyloric antrum
UBERON:0001166	pylorus
UBERON:0001167	wall of stomach
UBERON:0001168	wall of small intestine
UBERON:0001169	wall of large intestine
UBERON:0001170	mesentery of small intestine
UBERON:0001171	portal lobule
UBERON:0001172	hepatic acinus
UBERON:0001173	biliary tree
UBERON:0001174	common bile duct
UBERON:0001175	common hepatic duct
UBERON:0001176	right hepatic duct
UBERON:0001177	left hepatic duct
UBERON:0001178	visceral peritoneum
UBERON:0001179	peritoneal cavity
UBERON:0001182	superior mesenteric artery
UBERON:0001183	inferior mesenteric artery
UBERON:0001184	renal artery
UBERON:0001185	right renal artery
UBERON:0001186	left renal artery
UBERON:0001187	testicular artery
UBERON:0001188	right testicular artery
UBERON:0001189	left testicular artery
UBERON:0001190	ovarian artery
UBERON:0001191	common iliac artery
UBERON:0001193	hepatic artery
UBERON:0001194	splenic artery
UBERON:0001196	middle colic artery
UBERON:0001197	ileocolic artery
UBERON:0001199	mucosa of stomach
UBERON:0001200	submucosa of stomach
UBERON:0001201	serosa of stomach
UBERON:0001202	pyloric sphincter
UBERON:0001204	mucosa of small intestine
UBERON:0001205	submucosa of small intestine
UBERON:0001206	serosa of small intestine
UBERON:0001207	mucosa of large intestine
UBERON:0001208	submucosa of large intestine
UBERON:0001209	serosa of large intestine
UBERON:0001211	Peyer's patch
UBERON:0001212	duodenal gland
UBERON:0001213	intestinal villus
UBERON:0001215	inferior mesenteric vein
UBERON:0001216	jejunal vein
UBERON:0001217	ileal vein
UBERON:0001218	middle colic vein
UBERON:0001219	ileocolic vein
UBERON:0001222	right ureter
UBERON:0001223	left ureter
UBERON:0001224	renal pelvis
UBERON:0001225	cortex of kidney
UBERON:0001228	renal papilla
UBERON:0001229	renal corpuscle
UBERON:0001230	glomerular capsule
UBERON:0001231	nephron tubule
UBERON:0001232	collecting duct of renal tubule
UBERON:0001233	right adrenal gland
UBERON:0001234	left adrenal gland
UBERON:0001235	adrenal cortex
UBERON:0001236	adrenal medulla
UBERON:0001237	paraaortic body
UBERON:0001238	lamina propria of small intestine
UBERON:0001241	crypt of Lieberkuhn of small intestine
UBERON:0001242	intestinal mucosa
UBERON:0001243	serosa of intestine
UBERON:0001245	anus
UBERON:0001246	interlobular bile duct
UBERON:0001247	falciform ligament
UBERON:0001249	spleen lymphoid follicle
UBERON:0001250	red pulp of spleen
UBERON:0001251	marginal zone of spleen
UBERON:0001252	adventitia of ureter
UBERON:0001253	lamina propria of ureter
UBERON:0001254	urothelium of ureter
UBERON:0001255	urinary bladder
UBERON:0001256	wall of urinary bladder
UBERON:0001257	trigone of urinary bladder
UBERON:0001258	neck of urinary bladder
UBERON:0001259	mucosa of urinary bladder
UBERON:0001260	serosa of urinary bladder
UBERON:0001261	lamina propria of urinary bladder
UBERON:0001262	wall of intestine
UBERON:0001263	pancreatic acinus
UBERON:0001264	pancreas
UBERON:0001266	splenic cord
UBERON:0001268	peritoneal fluid
UBERON:0001271	pelvic girdle region
UBERON:0001276	epithelium of stomach
UBERON:0001277	intestinal epithelium
UBERON:0001278	epithelium of large intestine
UBERON:0001279	portal triad
UBERON:0001280	liver parenchyma
UBERON:0001281	hepatic sinusoid
UBERON:0001282	intralobular bile duct
UBERON:0001285	nephron
UBERON:0001286	Bowman's space
UBERON:0001287	proximal convoluted tubule
UBERON:0001288	loop of Henle
UBERON:0001289	descending limb of loop of Henle
UBERON:0001290	proximal straight tubule
UBERON:0001291	thick ascending limb of loop of Henle
UBERON:0001292	distal convoluted tubule
UBERON:0001293	outer medulla of kidney
UBERON:0001294	inner medulla of kidney
UBERON:0001295	endometrium
UBERON:0001296	myometrium
UBERON:0001297	serosa of uterus
UBERON:0001299	glans penis
UBERON:0001301	epididymis
UBERON:0001302	right uterine tube
UBERON:0001303	left uterine tube
UBERON:0001304	germinal epithelium of ovary
UBERON:0001305	ovarian follicle
UBERON:0001307	capsule of ovary
UBERON:0001308	external iliac artery
UBERON:0001309	internal iliac artery
UBERON:0001310	umbilical artery
UBERON:0001311	inferior vesical artery
UBERON:0001312	superior vesical artery
UBERON:0001317	internal iliac vein
UBERON:0001318	inferior vesical vein
UBERON:0001319	vaginal vein
UBERON:0001325	muscle of pelvis
UBERON:0001328	lobe of prostate
UBERON:0001330	pampiniform plexus
UBERON:0001331	skin of penis
UBERON:0001332	prepuce of penis
UBERON:0001333	male urethra
UBERON:0001334	female urethra
UBERON:0001338	urethral gland
UBERON:0001343	seminiferous tubule of testis
UBERON:0001344	epithelium of vagina
UBERON:0001347	white adipose tissue
UBERON:0001348	brown adipose tissue
UBERON:0001351	lacrimal sac
UBERON:0001352	external acoustic meatus
UBERON:0001353	anal region
UBERON:0001355	deep femoral artery
UBERON:0001356	medial circumflex femoral artery
UBERON:0001359	cerebrospinal fluid
UBERON:0001366	parietal peritoneum
UBERON:0001383	muscle of leg
UBERON:0001384	primary motor cortex
UBERON:0001394	axillary artery
UBERON:0001415	skin of pelvis
UBERON:0001416	skin of abdomen
UBERON:0001417	skin of neck
UBERON:0001418	skin of thorax
UBERON:0001419	skin of limb
UBERON:0001421	pectoral girdle region
UBERON:0001422	facial lymphatic vessel
UBERON:0001425	pectoral lymphatic vessel
UBERON:0001434	skeletal system
UBERON:0001435	carpal bone
UBERON:0001436	phalanx of manus
UBERON:0001437	epiphysis
UBERON:0001438	metaphysis
UBERON:0001439	compact bone tissue
UBERON:0001440	forelimb skeleton
UBERON:0001441	hindlimb skeleton
UBERON:0001442	skeleton of manus
UBERON:0001443	chest
UBERON:0001444	subdivision of head
UBERON:0001445	skeleton of pes
UBERON:0001447	tarsal bone
UBERON:0001448	metatarsal bone
UBERON:0001449	phalanx of pes
UBERON:0001456	face
UBERON:0001457	skin of eyelid
UBERON:0001458	skin of lip
UBERON:0001459	skin of external ear
UBERON:0001460	arm
UBERON:0001461	elbow
UBERON:0001464	hip
UBERON:0001465	knee
UBERON:0001466	pedal digit
UBERON:0001467	shoulder
UBERON:0001468	intervertebral joint
UBERON:0001469	sternoclavicular joint
UBERON:0001470	glenohumeral joint
UBERON:0001471	skin of prepuce of penis
UBERON:0001472	vaginal venous plexus
UBERON:0001473	lymphatic vessel
UBERON:0001474	bone element
UBERON:0001476	deltoid
UBERON:0001479	sesamoid bone
UBERON:0001480	proximal carpal bone
UBERON:0001482	muscle of shoulder
UBERON:0001483	skin of shoulder
UBERON:0001484	articular capsule
UBERON:0001485	knee joint
UBERON:0001487	pes joint
UBERON:0001488	ankle joint
UBERON:0001489	manus joint
UBERON:0001490	elbow joint
UBERON:0001491	wrist joint
UBERON:0001493	axillary nerve
UBERON:0001495	pectoral muscle
UBERON:0001497	muscle of pelvic girdle
UBERON:0001498	muscle of pes
UBERON:0001499	muscle of arm
UBERON:0001500	muscle of manus
UBERON:0001508	arch of aorta
UBERON:0001510	skin of knee
UBERON:0001511	skin of leg
UBERON:0001512	skin of ankle
UBERON:0001513	skin of pes
UBERON:0001514	descending aorta
UBERON:0001515	thoracic aorta
UBERON:0001516	abdominal aorta
UBERON:0001517	skin of elbow
UBERON:0001518	skin of wrist
UBERON:0001519	skin of manus
UBERON:0001529	brachiocephalic artery
UBERON:0001530	common carotid artery plus branches
UBERON:0001531	right common carotid artery plus branches
UBERON:0001532	internal carotid artery
UBERON:0001533	subclavian artery
UBERON:0001534	right subclavian artery
UBERON:0001536	left common carotid artery plus branches
UBERON:0001549	dorsal metatarsal vein
UBERON:0001552	kidney arcuate artery
UBERON:0001554	skin of hip
UBERON:0001555	digestive tract
UBERON:0001556	lower urinary tract
UBERON:0001557	upper respiratory tract
UBERON:0001558	lower respiratory tract
UBERON:0001560	neck of organ
UBERON:0001568	muscle of larynx
UBERON:0001571	genioglossus muscle
UBERON:0001572	hyoglossus muscle
UBERON:0001575	extrinsic muscle of tongue
UBERON:0001576	intrinsic muscle of tongue
UBERON:0001577	facial muscle
UBERON:0001579	olfactory nerve
UBERON:0001584	left subclavian artery
UBERON:0001585	anterior vena cava
UBERON:0001586	internal jugular vein
UBERON:0001591	thymic vein
UBERON:0001592	bronchial vein
UBERON:0001593	venous plexus
UBERON:0001605	ciliary muscle
UBERON:0001606	muscle of iris
UBERON:0001607	sphincter pupillae
UBERON:0001608	dilatator pupillae
UBERON:0001610	lingual artery
UBERON:0001612	facial artery
UBERON:0001613	occipital artery
UBERON:0001616	maxillary artery
UBERON:0001619	ophthalmic artery
UBERON:0001621	coronary artery
UBERON:0001622	lacrimal artery
UBERON:0001628	posterior communicating artery
UBERON:0001630	muscle organ
UBERON:0001637	artery
UBERON:0001638	vein
UBERON:0001640	celiac artery
UBERON:0001645	trigeminal nerve
UBERON:0001647	facial nerve
UBERON:0001648	vestibulocochlear nerve
UBERON:0001649	glossopharyngeal nerve
UBERON:0001650	hypoglossal nerve
UBERON:0001651	right pulmonary artery
UBERON:0001652	left pulmonary artery
UBERON:0001653	facial vein
UBERON:0001663	cerebral vein
UBERON:0001668	cerebellar vein
UBERON:0001675	trigeminal ganglion
UBERON:0001676	occipital bone
UBERON:0001677	sphenoid bone
UBERON:0001678	temporal bone
UBERON:0001685	hyoid bone
UBERON:0001686	auditory ossicle bone
UBERON:0001690	ear
UBERON:0001691	external ear
UBERON:0001694	petrous part of temporal bone
UBERON:0001700	geniculate ganglion
UBERON:0001701	glossopharyngeal ganglion
UBERON:0001703	neurocranium
UBERON:0001707	nasal cavity
UBERON:0001708	jaw skeleton
UBERON:0001710	lower jaw region
UBERON:0001711	eyelid
UBERON:0001714	cranial ganglion
UBERON:0001720	cochlear nucleus
UBERON:0001723	tongue
UBERON:0001725	cranial synchondrosis
UBERON:0001726	papilla of tongue
UBERON:0001727	taste bud
UBERON:0001728	nasopharynx
UBERON:0001731	cavity of pharynx
UBERON:0001735	tonsillar ring
UBERON:0001737	larynx
UBERON:0001739	laryngeal cartilage
UBERON:0001743	ligament of larynx
UBERON:0001744	lymphoid tissue
UBERON:0001745	secondary nodular lymphoid tissue
UBERON:0001746	capsule of thyroid gland
UBERON:0001747	parenchyma of thyroid gland
UBERON:0001748	capsule of parathyroid gland
UBERON:0001749	parenchyma of parathyroid gland
UBERON:0001750	lacrimal apparatus
UBERON:0001751	dentine
UBERON:0001752	enamel
UBERON:0001753	cementum
UBERON:0001754	dental pulp
UBERON:0001756	middle ear
UBERON:0001757	pinna
UBERON:0001758	periodontium
UBERON:0001759	vagus nerve
UBERON:0001763	odontogenic papilla
UBERON:0001765	mammary duct
UBERON:0001766	anterior chamber of eyeball
UBERON:0001768	uvea
UBERON:0001769	iris
UBERON:0001770	lacrimal canaliculus
UBERON:0001772	corneal epithelium
UBERON:0001773	sclera
UBERON:0001774	skeletal muscle of trunk
UBERON:0001775	ciliary body
UBERON:0001776	optic choroid
UBERON:0001777	substantia propria of cornea
UBERON:0001778	ciliary epithelium
UBERON:0001779	iris stroma
UBERON:0001780	spinal nerve
UBERON:0001781	layer of retina
UBERON:0001782	pigmented layer of retina
UBERON:0001785	cranial nerve
UBERON:0001787	photoreceptor layer of retina
UBERON:0001788	outer limiting layer of retina
UBERON:0001789	outer nuclear layer of retina
UBERON:0001790	outer plexiform layer of retina
UBERON:0001791	inner nuclear layer of retina
UBERON:0001792	ganglionic layer of retina
UBERON:0001793	nerve fiber layer of retina
UBERON:0001794	inner limiting layer of retina
UBERON:0001795	inner plexiform layer of retina
UBERON:0001796	aqueous humor of eyeball
UBERON:0001797	vitreous humor
UBERON:0001798	vitreous body
UBERON:0001799	vitreous chamber of eyeball
UBERON:0001800	sensory ganglion
UBERON:0001801	anterior segment of eyeball
UBERON:0001802	posterior segment of eyeball
UBERON:0001803	epithelium of lens
UBERON:0001804	capsule of lens
UBERON:0001805	autonomic ganglion
UBERON:0001806	sympathetic ganglion
UBERON:0001807	paravertebral ganglion
UBERON:0001810	nerve plexus
UBERON:0001811	conjunctiva
UBERON:0001813	spinal nerve plexus
UBERON:0001814	brachial nerve plexus
UBERON:0001815	lumbosacral nerve plexus
UBERON:0001816	autonomic nerve plexus
UBERON:0001817	lacrimal gland
UBERON:0001820	sweat gland
UBERON:0001821	sebaceous gland
UBERON:0001823	nasal cartilage
UBERON:0001824	mucosa of larynx
UBERON:0001826	nasal cavity mucosa
UBERON:0001827	secretion of lacrimal gland
UBERON:0001828	gingiva
UBERON:0001833	lip
UBERON:0001835	lower lip
UBERON:0001836	saliva
UBERON:0001837	duct of salivary gland
UBERON:0001839	bony labyrinth
UBERON:0001840	semicircular canal
UBERON:0001844	cochlea
UBERON:0001845	perilymph
UBERON:0001846	internal ear
UBERON:0001848	auricular cartilage
UBERON:0001849	membranous labyrinth
UBERON:0001850	lacrimal drainage system
UBERON:0001851	cortex
UBERON:0001853	utricle of membranous labyrinth
UBERON:0001854	saccule of membranous labyrinth
UBERON:0001855	cochlear duct of membranous labyrinth
UBERON:0001856	semicircular duct
UBERON:0001862	vestibular labyrinth
UBERON:0001866	sebum
UBERON:0001867	cartilage of external ear
UBERON:0001868	skin of chest
UBERON:0001869	cerebral hemisphere
UBERON:0001870	frontal cortex
UBERON:0001871	temporal lobe
UBERON:0001872	parietal lobe
UBERON:0001885	dentate gyrus of hippocampal formation
UBERON:0001886	choroid plexus
UBERON:0001890	forebrain
UBERON:0001891	midbrain
UBERON:0001892	rhombomere
UBERON:0001893	telencephalon
UBERON:0001894	diencephalon
UBERON:0001895	metencephalon
UBERON:0001896	medulla oblongata
UBERON:0001897	dorsal plus ventral thalamus
UBERON:0001898	hypothalamus
UBERON:0001899	epithalamus
UBERON:0001901	epithelium of trachea
UBERON:0001902	epithelium of small intestine
UBERON:0001905	pineal body
UBERON:0001908	optic tract
UBERON:0001911	mammary gland
UBERON:0001912	lobule of mammary gland
UBERON:0001913	milk
UBERON:0001915	endothelium of capillary
UBERON:0001916	endothelium of arteriole
UBERON:0001917	endothelium of artery
UBERON:0001918	endothelium of venule
UBERON:0001919	endothelium of vein
UBERON:0001930	paraventricular nucleus of hypothalamus
UBERON:0001943	midbrain tegmentum
UBERON:0001948	regional part of spinal cord
UBERON:0001949	gingival epithelium
UBERON:0001950	neocortex
UBERON:0001951	epithelium of nasopharynx
UBERON:0001954	Ammon's horn
UBERON:0001955	epithelium of respiratory bronchiole
UBERON:0001956	cartilage of bronchus
UBERON:0001957	submucosa of bronchus
UBERON:0001958	terminal bronchiole epithelium
UBERON:0001959	white pulp of spleen
UBERON:0001961	mucosa-associated lymphoid tissue
UBERON:0001962	gut-associated lymphoid tissue
UBERON:0001963	bronchial-associated lymphoid tissue
UBERON:0001968	semen
UBERON:0001969	blood plasma
UBERON:0001970	bile
UBERON:0001971	gastric juice
UBERON:0001972	submucosa of esophagus
UBERON:0001974	lamina propria of esophagus
UBERON:0001975	serosa of esophagus
UBERON:0001976	epithelium of esophagus
UBERON:0001978	parenchyma of pancreas
UBERON:0001979	venule
UBERON:0001980	arteriole
UBERON:0001981	blood vessel
UBERON:0001982	capillary
UBERON:0001983	crypt of Lieberkuhn
UBERON:0001984	crypt of Lieberkuhn of large intestine
UBERON:0001985	corneal endothelium
UBERON:0001986	endothelium
UBERON:0001987	placenta
UBERON:0001988	feces
UBERON:0001992	papillary layer of dermis
UBERON:0001993	reticular layer of dermis
UBERON:0001994	hyaline cartilage tissue
UBERON:0001995	fibrocartilage
UBERON:0001996	elastic cartilage tissue
UBERON:0001997	olfactory epithelium
UBERON:0002001	joint of rib
UBERON:0002005	enteric nervous system
UBERON:0002006	cortex of lymph node
UBERON:0002007	medulla of lymph node
UBERON:0002008	cardiac nerve plexus
UBERON:0002011	thoracodorsal artery
UBERON:0002012	pulmonary artery
UBERON:0002015	kidney capsule
UBERON:0002016	pulmonary vein
UBERON:0002017	portal vein
UBERON:0002018	synovial membrane of synovial joint
UBERON:0002019	accessory XI nerve
UBERON:0002020	gray matter
UBERON:0002025	stratum basale of epidermis
UBERON:0002026	stratum spinosum of epidermis
UBERON:0002027	stratum corneum of epidermis
UBERON:0002028	hindbrain
UBERON:0002029	epithelium of gall bladder
UBERON:0002030	nipple
UBERON:0002031	epithelium of bronchus
UBERON:0002033	arrector muscle of hair
UBERON:0002036	striated muscle tissue
UBERON:0002037	cerebellum
UBERON:0002038	substantia nigra
UBERON:0002040	bronchial artery
UBERON:0002042	lymphatic vessel endothelium
UBERON:0002046	thyroid gland
UBERON:0002047	pontine raphe nucleus
UBERON:0002048	lung
UBERON:0002049	vasculature
UBERON:0002050	embryonic structure
UBERON:0002051	epithelium of bronchiole
UBERON:0002052	adrenal gland capsule
UBERON:0002053	zona glomerulosa of adrenal gland
UBERON:0002056	inferior suprarenal artery
UBERON:0002060	femoral artery
UBERON:0002061	truncus arteriosus
UBERON:0002062	endocardial cushion
UBERON:0002063	sinus venosus
UBERON:0002066	umbilical vein
UBERON:0002067	dermis
UBERON:0002069	stratum granulosum of epidermis
UBERON:0002072	hypodermis
UBERON:0002073	hair follicle
UBERON:0002074	hair shaft
UBERON:0002075	viscus
UBERON:0002076	cuticle of hair
UBERON:0002077	cortex of hair
UBERON:0002078	right cardiac atrium
UBERON:0002079	left cardiac atrium
UBERON:0002080	heart right ventricle
UBERON:0002081	cardiac atrium
UBERON:0002082	cardiac ventricle
